年級	學期	課次	生字
1	1		一
1	1		二
1	1		三
1	1		四
1	1		五
1	1		六
1	1		七
1	1		八
1	1		九
1	1		十
1	1		日
1	1		月
1	1		山
1	1		木
1	1		水
1	1		人
1	1		手
1	1		門
1	1	1	小
1	1	1	上
1	1	1	走
1	1	1	左
1	1	1	右
1	1	1	向
1	1	1	魚
1	1	1	也
1	1	1	來
1	1	1	加
1	1	1	船
1	1	1	前
1	1	1	油
1	1	2	開
1	1	2	出
1	1	2	招
1	1	2	車
1	1	2	子
1	1	2	地
1	1	2	花
1	1	2	朵
1	1	2	在
1	1	2	笑
1	1	2	印
1	1	2	張
1	1	2	臉
1	1	3	泡
1	1	3	玩
1	1	3	大
1	1	3	起
1	1	3	好
1	1	3	多
1	1	3	我
1	1	3	的
1	1	3	你
1	1	3	抱
1	1	3	吹
1	1	3	家
1	1	3	像
1	1	4	爸
1	1	4	到
1	1	4	青
1	1	4	叫
1	1	4	下
1	1	4	那
1	1	4	和
1	1	4	要
1	1	4	他
1	1	4	朋
1	1	4	友
1	1	4	跟
1	1	4	頭
1	1	4	想
1	1	4	做
1	1	5	外
1	1	5	住
1	1	5	個
1	1	5	們
1	1	5	這
1	1	5	裡
1	1	5	有
1	1	5	沒
1	1	5	是
1	1	5	什
1	1	5	麼
1	1	5	星
1	1	5	哪
1	1	5	球
1	1	5	河
1	1	5	流
1	1	6	金
1	1	6	說
1	1	6	句
1	1	6	話
1	1	6	兩
1	1	6	都
1	1	6	悄
1	1	6	尾
1	1	6	巴
1	1	6	滿
1	1	6	紅
1	1	6	吐
1	1	6	缸
1	1	6	搖
1	1	7	春
1	1	7	貼
1	1	7	呢
1	1	7	了
1	1	7	請
1	1	7	天
1	1	7	家
1	1	7	把
1	1	7	不
1	1	7	房
1	1	7	福
1	1	7	為
1	1	7	幸
1	2	1	太
1	2	1	充
1	2	1	電
1	2	1	雨
1	2	1	過
1	2	1	後
1	2	1	為
1	2	1	冬
1	2	1	土
1	2	1	草
1	2	1	冒
1	2	1	哭
1	2	1	心
1	2	1	陽
1	2	1	機
1	2	2	顏
1	2	2	色
1	2	2	細
1	2	2	著
1	2	2	問
1	2	2	鳥
1	2	2	綠
1	2	2	看
1	2	2	藍
1	2	2	空
1	2	2	媽
1	2	2	彩
1	2	2	中
1	2	2	虹
1	2	2	蜻
1	2	2	蜓
1	2	3	音
1	2	3	樂
1	2	3	會
1	2	3	坡
1	2	3	忙
1	2	3	布
1	2	3	場
1	2	3	入
1	2	3	口
1	2	3	河
1	2	3	林
1	2	3	間
1	2	3	風
1	2	3	跑
1	2	3	置
1	2	4	書
1	2	4	打
1	2	4	跳
1	2	4	陪
1	2	4	去
1	2	4	險
1	2	4	海
1	2	4	找
1	2	4	歡
1	2	4	神
1	2	4	奇
1	2	4	猜
1	2	4	次
1	2	4	誰
1	2	4	跟
1	2	4	恐
1	2	4	龍
1	2	4	豚
1	2	5	喜
1	2	5	帶
1	2	5	氣
1	2	5	球
1	2	5	始
1	2	5	吹
1	2	5	突
1	2	5	然
1	2	5	得
1	2	5	高
1	2	5	樹
1	2	5	給
1	2	5	可
1	2	5	理
1	2	5	只
1	2	5	輕
1	2	5	飛
1	2	5	還
1	2	6	居
1	2	6	孩
1	2	6	常
1	2	6	躲
1	2	6	發
1	2	6	現
1	2	6	就
1	2	6	頭
1	2	6	回
1	2	6	想
1	2	6	但
1	2	6	怎
1	2	6	知
1	2	6	道
1	2	6	先
1	2	6	鄰
1	2	6	縮
1	2	6	讓
1	2	7	畫
1	2	7	愛
1	2	7	送
1	2	7	寫
1	2	7	祝
1	2	7	張
1	2	7	臉
1	2	7	感
1	2	7	謝
1	2	7	老
1	2	7	師
1	2	7	啊
1	2	7	還
1	2	7	漂
1	2	7	亮
1	2	7	顆
1	2	7	蛋
1	2	7	糕
1	2	8	卡
1	2	8	片
1	2	8	秋
1	2	8	採
1	2	8	果
1	2	8	吃
1	2	8	飽
1	2	8	方
1	2	8	埋
1	2	8	進
1	2	8	很
1	2	8	久
1	2	8	嗎
1	2	8	長
1	2	8	敬
1	2	8	松
1	2	8	鼠
1	2	8	從
1	2	8	等
1	2	9	奶
1	2	9	貝
1	2	9	早
1	2	9	校
1	2	9	園
1	2	9	工
1	2	9	作
1	2	9	她
1	2	9	邊
1	2	9	汗
1	2	9	學
1	2	9	您
1	2	9	樣
1	2	9	當
1	2	9	成
1	2	9	寶
1	2	9	擦
1	2	9	澆
1	2	10	井
1	2	10	隻
1	2	10	除
1	2	10	睡
1	2	10	覺
1	2	10	東
1	2	10	西
1	2	10	拍
1	2	10	肚
1	2	10	唉
1	2	10	幾
1	2	10	世
1	2	10	界
1	2	10	連
1	2	10	裝
1	2	10	蛙
1	2	10	窪
1	2	11	星
1	2	11	面
1	2	11	許
1	2	11	池
1	2	11	圈
1	2	11	波
1	2	11	紋
1	2	11	見
1	2	11	快
1	2	11	告
1	2	11	訴
1	2	11	光
1	2	11	拉
1	2	11	怪
1	2	11	呀
