年級	學期	課次	生字
1	1		一
1	1		二
1	1		三
1	1		四
1	1		五
1	1		六
1	1		七
1	1		八
1	1		九
1	1		十
1	1	1	拍
1	1	1	手
1	1	1	左
1	1	1	右
1	1	1	你
1	1	1	他
1	1	1	也
1	1	1	上
1	1	1	下
1	1	2	這
1	1	2	是
1	1	2	誰
1	1	2	的
1	1	2	我
1	1	2	分
1	1	2	好
1	1	2	了
1	1	2	啊
1	1	2	多
1	1	2	個
1	1	3	秋
1	1	3	千
1	1	3	和
1	1	3	玩
1	1	3	陪
1	1	3	高
1	1	3	山
1	1	3	到
1	1	3	大
1	1	3	海
1	1	3	朋
1	1	3	友
1	1	3	們
1	1	3	起
1	1	4	子
1	1	4	小
1	1	4	課
1	1	4	兩
1	1	4	人
1	1	4	拉
1	1	4	看
1	1	4	找
1	1	4	隻
1	1	4	青
1	1	4	蛙
1	1	4	開
1	1	4	心
1	1	5	比
1	1	5	門
1	1	5	裡
1	1	5	外
1	1	5	有
1	1	5	什
1	1	5	麼
1	1	5	不
1	1	5	同
1	1	5	早
1	1	5	晚
1	1	5	王
1	1	5	主
1	1	5	又
1	1	6	路
1	1	6	長
1	1	6	白
1	1	6	花
1	1	6	紅
1	1	6	走
1	1	6	在
1	1	6	向
1	1	6	說
1	1	6	朵
1	1	6	從
1	1	6	頭
1	1	6	那
1	2	1	要
1	2	1	靜
1	2	1	天
1	2	1	空
1	2	1	雲
1	2	1	水
1	2	1	蟲
1	2	1	鳥
1	2	1	草
1	2	1	先
1	2	1	完
1	2	1	再
1	2	1	去
1	2	2	園
1	2	2	聽
1	2	2	沒
1	2	2	正
1	2	2	唱
1	2	2	著
1	2	2	輕
1	2	2	快
1	2	2	歌
1	2	2	出
1	2	2	新
1	2	2	芽
1	2	2	聞
1	2	2	身
1	2	2	香
1	2	2	呢
1	2	3	媽
1	2	3	音
1	2	3	樂
1	2	3	會
1	2	3	始
1	2	3	來
1	2	3	重
1	2	3	短
1	2	3	陣
1	2	3	過
1	2	3	後
1	2	3	吃
1	2	3	菜
1	2	3	就
1	2	3	桌
1	2	3	真
1	2	4	鞋
1	2	4	回
1	2	4	家
1	2	4	把
1	2	4	脫
1	2	4	爸
1	2	4	靠
1	2	4	見
1	2	4	像
1	2	4	船
1	2	4	港
1	2	4	口
1	2	4	享
1	2	4	受
1	2	4	溫
1	2	4	暖
1	2	5	種
1	2	5	問
1	2	5	怎
1	2	5	做
1	2	5	它
1	2	5	才
1	2	5	需
1	2	5	於
1	2	5	澆
1	2	5	陽
1	2	5	光
1	2	5	放
1	2	5	院
1	2	5	公
1	2	5	話
1	2	5	伴
1	2	6	奶
1	2	6	跟
1	2	6	班
1	2	6	床
1	2	6	弟
1	2	6	她
1	2	6	酒
1	2	6	拿
1	2	6	卡
1	2	6	片
1	2	6	給
1	2	6	寫
1	2	6	喜
1	2	6	歡
1	2	6	您
1	2	6	都
1	2	7	作
1	2	7	夢
1	2	7	躺
1	2	7	自
1	2	7	己
1	2	7	變
1	2	7	成
1	2	7	棉
1	2	7	糖
1	2	7	黑
1	2	7	鵝
1	2	7	得
1	2	7	更
1	2	7	漂
1	2	7	亮
1	2	8	妹
1	2	8	雨
1	2	8	雙
1	2	8	穿
1	2	8	滴
1	2	8	遊
1	2	8	戲
1	2	8	顆
1	2	8	珍
1	2	8	珠
1	2	8	落
1	2	8	面
1	2	8	魚
1	2	8	缸
1	2	8	金
1	2	8	游
1	2	9	彩
1	2	9	虹
1	2	9	太
1	2	9	國
1	2	9	掃
1	2	9	除
1	2	9	洗
1	2	9	淨
1	2	9	馬
1	2	9	低
1	2	9	刷
1	2	9	樹
1	2	9	葉
1	2	9	很
1	2	9	認
1	2	9	送
1	2	10	地
1	2	10	化
1	2	10	趣
1	2	10	線
1	2	10	風
1	2	10	箏
1	2	10	升
1	2	10	神
1	2	10	奇
1	2	10	跑
1	2	10	跳
1	2	10	笑
1	2	10	每
1	2	10	件
1	2	10	事
1	2	10	情
1	2	11	生
1	2	11	日
1	2	11	今
1	2	11	記
1	2	11	時
1	2	11	知
1	2	11	道
1	2	11	嗎
1	2	11	學
1	2	11	收
1	2	11	張
1	2	11	祝
1	2	11	福
1	2	11	第
1	2	11	次
1	2	11	謝
1	2	12	想
1	2	12	燈
1	2	12	前
1	2	12	點
1	2	12	半
1	2	12	清
1	2	12	楚
1	2	12	停
1	2	12	休
1	2	12	息
1	2	12	兒
1	2	12	吧
1	2	12	幫
1	2	12	加
1	2	12	油
1	2	12	慢
2	1	1	年
2	1	1	希
2	1	1	望
2	1	1	坐
2	1	1	位
2	1	1	本
2	1	1	淡
2	1	1	書
2	1	1	老
2	1	1	師
2	1	1	以
2	1	1	為
2	1	1	故
2	1	1	用
2	1	1	力
2	1	1	只
2	1	1	現
2	1	1	還
2	1	1	聲
2	1	1	矮
2	1	2	全
2	1	2	蛋
2	1	2	煎
2	1	2	圓
2	1	2	番
2	1	2	茄
2	1	2	切
2	1	2	輪
2	1	2	司
