年級	學期	課次	生字
1	1	1	起
1	1	1	走
1	1	1	你
1	1	1	在
1	1	1	左
1	1	1	我
1	1	1	右
1	1	1	和
1	1	1	向
1	1	1	前
1	1	2	大
1	1	2	風
1	1	2	吹
1	1	2	們
1	1	2	來
1	1	2	玩
1	1	2	不
1	1	2	停
1	1	2	的
1	1	2	跑
1	1	3	火
1	1	3	車
1	1	3	山
1	1	3	洞
1	1	3	個
1	1	3	又
1	1	3	出
1	1	3	小
1	1	3	堆
1	1	3	開
1	1	3	心
1	1	3	過
1	1	3	做
1	1	4	請
1	1	4	問
1	1	4	草
1	1	4	天
1	1	4	有
1	1	4	多
1	1	4	高
1	1	4	星
1	1	4	少
1	1	4	太
1	1	4	了
1	1	4	水
1	1	4	去
1	1	4	陽
1	1	4	珠
1	1	4	哪
1	1	5	彩
1	1	5	上
1	1	5	好
1	1	5	想
1	1	5	爬
1	1	5	看
1	1	5	沒
1	1	5	棉
1	1	5	花
1	1	5	下
1	1	5	泡
1	1	5	池
1	1	5	滑
1	1	5	梯
1	1	5	糖
1	1	6	秋
1	1	6	千
1	1	6	子
1	1	6	空
1	1	6	說
1	1	6	早
1	1	6	田
1	1	6	是
1	1	6	誰
1	1	6	陪
1	1	6	他
1	1	6	低
1	1	6	找
1	1	7	回
1	1	7	音
1	1	7	到
1	1	7	谷
1	1	7	叫
1	1	7	人
1	1	7	嗎
1	1	7	也
1	1	7	笑
1	1	7	哈
1	2	1	春
1	2	1	裡
1	2	1	綠
1	2	1	美
1	2	1	呀
1	2	1	媽
1	2	1	弟
1	2	1	坐
1	2	1	還
1	2	1	路
1	2	1	著
1	2	1	氣
1	2	1	暖
1	2	1	就
1	2	1	園
1	2	2	雨
1	2	2	唱
1	2	2	歌
1	2	2	過
1	2	2	河
1	2	2	輕
1	2	2	快
1	2	2	樂
1	2	2	街
1	2	2	興
1	2	2	魚
1	2	2	朋
1	2	2	友
1	2	2	招
1	2	2	手
1	2	2	愛
1	2	2	稻
1	2	2	苗
1	2	3	涼
1	2	3	地
1	2	3	真
1	2	3	朵
1	2	3	拍
1	2	3	照
1	2	3	粉
1	2	3	紅
1	2	3	色
1	2	3	衣
1	2	3	服
1	2	3	妹
1	2	3	像
1	2	3	會
1	2	3	動
1	2	3	帶
1	2	3	給
1	2	3	鳥
1	2	3	滿
1	2	3	穿
1	2	4	送
1	2	4	什
1	2	4	呢
1	2	4	生
1	2	4	日
1	2	4	要
1	2	4	爸
1	2	4	姐
1	2	4	束
1	2	4	做
1	2	4	張
1	2	4	卡
1	2	4	片
1	2	4	畫
1	2	4	寫
1	2	4	話
1	2	4	麼
1	2	5	窗
1	2	5	外
1	2	5	麻
1	2	5	雀
1	2	5	找
1	2	5	字
1	2	5	但
1	2	5	課
1	2	5	才
1	2	5	可
1	2	5	以
1	2	5	急
1	2	5	跳
1	2	5	先
1	2	5	再
1	2	5	遊
1	2	5	戲
1	2	6	毛
1	2	6	陽
1	2	6	光
1	2	6	兒
1	2	6	站
1	2	6	中
1	2	6	游
1	2	6	青
1	2	6	幫
1	2	6	忙
1	2	6	面
1	2	6	葉
1	2	6	船
1	2	6	拉
1	2	6	推
1	2	6	蟲
1	2	6	邊
1	2	6	蛙
1	2	7	借
1	2	7	筆
1	2	7	跟
1	2	7	她
1	2	7	把
1	2	7	拿
1	2	7	很
1	2	7	都
1	2	7	每
1	2	7	家
1	2	7	今
1	2	7	自
1	2	7	己
1	2	7	背
1	2	7	書
1	2	7	包
1	2	7	剛
1	2	7	整
1	2	8	兩
1	2	8	教
1	2	8	室
1	2	8	見
1	2	8	桌
1	2	8	等
1	2	8	意
1	2	8	思
1	2	8	忍
1	2	8	住
1	2	8	忽
1	2	8	然
1	2	8	啊
1	2	8	忘
1	2	8	用
1	2	8	吧
1	2	8	對
1	2	8	樣
1	2	9	情
1	2	9	杖
1	2	9	時
1	2	9	受
1	2	9	傷
1	2	9	疼
1	2	9	直
1	2	9	步
1	2	9	健
1	2	9	康
1	2	9	覺
1	2	9	得
1	2	9	溫
1	2	9	雙
1	2	9	枴
1	2	9	蹲
1	2	9	矮
1	2	10	棵
1	2	10	樹
1	2	10	打
1	2	10	雷
1	2	10	土
1	2	10	抖
1	2	10	害
1	2	10	怕
1	2	10	長
1	2	10	咬
1	2	10	羊
1	2	10	吃
1	2	10	勇
1	2	10	敢
1	2	10	這
1	2	10	發
1	2	10	柔
1	2	10	聽
1	2	11	鉛
1	2	11	皮
1	2	11	常
1	2	11	錯
1	2	11	久
1	2	11	哭
1	2	11	加
1	2	11	油
1	2	11	試
1	2	11	後
1	2	11	正
1	2	11	漂
1	2	11	亮
1	2	11	進
1	2	11	需
1	2	11	學
1	2	11	橡
1	2	11	擦
1	2	11	確
1	2	12	故
1	2	12	事
1	2	12	期
1	2	12	全
1	2	12	班
1	2	12	記
1	2	12	麼
1	2	12	能
1	2	12	決
1	2	12	定
1	2	12	狼
1	2	12	間
1	2	12	完
1	2	12	段
1	2	12	物
1	2	12	同
1	2	12	臺
1	2	12	演
2	1	1	候
2	1	1	颳
2	1	1	冷
2	1	1	躲
2	1	1	閃
2	1	1	電
2	1	1	難
2	1	1	烏
2	1	1	雲
2	1	1	密
2	1	1	布
2	1	1	盆
2	1	1	充
2	1	1	滿
2	1	1	放
2	1	1	晴
2	1	1	現
2	1	1	虹
2	1	1	傾
2	1	1	麗
2	1	2	老
2	1	2	師
2	1	2	新
2	1	2	希
2	1	2	望
2	1	2	卻
2	1	2	使
2	1	2	緊
